,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3),PPT
2000-01-01,147.27,50.8,31.02,0.0
2000-01-02,147.27,50.8,31.02,0.0
2000-01-03,147.27,50.8,31.02,0.0
2000-01-04,147.27,50.8,31.02,0.0
2000-01-05,147.28,50.8,31.04,0.0
2000-01-06,147.28,50.8,31.04,0.0
2000-01-07,147.29,50.8,31.06,0.1
2000-01-08,147.29,50.8,31.06,2.0
2000-01-09,147.3,50.9,31.08,3.5
2000-01-10,147.3,50.9,31.08,0.0
2000-01-11,147.31,50.9,31.1,0.0
2000-01-12,147.32,50.9,31.12,0.0
2000-01-13,147.33,51.0,31.14,0.0
2000-01-14,147.33,51.0,31.14,2.4
2000-01-15,147.34,51.0,31.16,11.0
2000-01-16,147.35,51.0,31.19,0.0
2000-01-17,147.36,51.1,31.21,0.0
2000-01-18,147.37,51.1,31.23,0.0
2000-01-19,147.37,51.1,31.23,0.0
2000-01-20,147.37,51.1,31.23,0.0
2000-01-21,147.37,51.1,31.23,0.0
2000-01-22,147.37,51.1,31.23,0.1
2000-01-23,147.37,51.1,31.23,1.0
2000-01-24,147.38,51.1,31.25,0.0
2000-01-25,147.38,51.1,31.25,0.0
2000-01-26,147.38,51.1,31.25,2.2
2000-01-27,147.38,51.1,31.25,1.0
2000-01-28,147.38,51.1,31.25,0.0
2000-01-29,147.39,51.2,31.27,0.0
2000-01-30,147.39,51.2,31.27,0.0
2000-01-31,147.39,51.2,31.27,0.0
2000-02-01,147.39,51.2,31.27,0.0
2000-02-02,147.39,51.2,31.27,1.1
2000-02-03,147.39,51.2,31.27,0.0
2000-02-04,147.4,51.2,31.29,0.0
2000-02-05,147.4,51.2,31.29,0.0
2000-02-06,147.4,51.2,31.29,0.0
2000-02-07,147.4,51.2,31.29,0.0
2000-02-08,147.4,51.2,31.29,0.0
2000-02-09,147.4,51.2,31.29,0.0
2000-02-10,147.41,51.3,31.31,0.0
2000-02-11,147.41,51.3,31.31,0.0
2000-02-12,147.41,51.3,31.31,0.0
2000-02-13,147.41,51.3,31.31,0.0
2000-02-14,147.41,51.3,31.31,0.1
2000-02-15,147.41,51.3,31.31,0.0
2000-02-16,147.41,51.3,31.31,1.4
2000-02-17,147.41,51.3,31.31,9.1
2000-02-18,147.43,51.3,31.36,0.0
2000-02-19,147.43,51.3,31.36,0.0
2000-02-20,147.43,51.3,31.36,0.0
2000-02-21,147.43,51.3,31.36,0.0
2000-02-22,147.43,51.3,31.36,0.0
2000-02-23,147.43,51.3,31.36,0.0
2000-02-24,147.43,51.3,31.36,0.0
2000-02-25,147.43,51.3,31.36,0.0
2000-02-26,147.43,51.3,31.36,0.0
2000-02-27,147.43,51.3,31.36,0.0
2000-02-28,147.42,51.3,31.34,0.0
2000-02-29,147.43,51.3,31.36,0.0
2000-03-01,147.43,51.3,31.36,0.9
2000-03-02,147.43,51.3,31.36,0.3
2000-03-03,147.43,51.3,31.36,0.0
2000-03-04,147.42,51.3,31.34,0.0
2000-03-05,147.42,51.3,31.34,0.0
2000-03-06,147.42,51.3,31.34,0.0
2000-03-07,147.42,51.3,31.34,0.0
2000-03-08,147.42,51.3,31.34,0.0
2000-03-09,147.42,51.3,31.34,0.0
2000-03-10,147.42,51.3,31.34,0.0
2000-03-11,147.42,51.3,31.34,0.0
2000-03-12,147.42,51.3,31.34,0.0
2000-03-13,147.41,51.3,31.31,0.0
2000-03-14,147.41,51.3,31.31,0.0
2000-03-15,147.41,51.3,31.31,0.0
2000-03-16,147.41,51.3,31.31,0.0
2000-03-17,147.39,51.2,31.27,0.0
2000-03-18,147.38,51.1,31.25,0.0
2000-03-19,147.37,51.1,31.23,0.0
